team1,team2,favorite,spread,over_under,team1_score,team2_score
CHA,POR,POR,-8.0,229.5,111,123
BKN,SA,BKN,-4.0,233.5,124,113
DEN,CHI,DEN,-4.5,226.5,118,112
UTA,NO,UTA,-7.0,237.5,124,129
CLE,HOU,HOU,-3.0,216.5,101,90
DAL,ORL,DAL,-6.5,221.0,130,124
IND,PHI,PHI,-3.5,224.0,114,130
CHA,SAC,SAC,-3.5,236.5,127,126
PHX,MIN,PHX,-10.5,224.5,118,99
GS,LA,LAL,-3.0,220.5,91,117
WSH,BOS,BOS,-6.5,231.5,110,111
MEM,HOU,MEM,-4.0,223.5,133,84
ATL,MIA,MIA,-2.5,223.0,99,109
NY,DET,NYK,-1.5,210.0,109,90
LA,MIL,MIL,-1.5,233.5,100,105
DAL,BKN,BKN,-1.0,233.0,115,98
DEN,OKC,DEN,-7.0,220.5,126,96
MIN,WSH,WSH,-4.5,237.5,112,128
UTA,ORL,UTA,-9.5,220.5,124,109
IND,NY,NYK,-1.0,217.0,107,110
NO,SA,NOP,-2.0,234.0,114,117
CLE,PHI,PHI,-11.0,221.0,112,109
POR,LA,LAL,-5.0,223.0,93,102
CHA,GS,GS,-6.0,233.5,121,130
LA,MEM,LAC,-7.5,224.0,119,99
PHX,CHI,PHX,-6.5,225.5,106,97
ATL,OKC,ATL,-5.0,227.5,109,118
UTA,MIA,UTA,-6.0,220.0,116,124
IND,BOS,BOS,-2.5,219.0,112,118
HOU,TOR,TOR,-6.5,218.0,111,122
SAC,DET,SAC,-2.0,227.5,110,107
NO,MIL,MIL,-7.5,242.0,125,129
WSH,DEN,DEN,-8.0,237.0,112,110
LA,MEM,LAC,-8.0,226.0,94,122
SAC,NY,NYK,-1.0,225.0,121,140
ORL,BKN,BKN,-8.5,228.0,92,129
DAL,PHI,PHI,-5.0,228.5,97,111
LA,UTA,UTA,-8.5,218.5,89,114
CHA,PHX,PHX,-9.5,224.5,124,121
DET,NO,NOP,-12.0,222.0,118,128
MIN,CHI,CHI,-4.5,228.0,126,133
SA,OKC,SAS,-1.0,217.0,99,102
BOS,ATL,BOS,-1.5,221.0,112,127
HOU,CLE,HOU,-5.0,221.5,96,112
TOR,MIA,MIA,-1.5,213.5,108,116
GS,IND,IND,-2.5,231.5,111,107
WSH,LA,LAC,-11.5,236.0,116,135
POR,DEN,DEN,-5.5,232.0,106,111
MIN,MIL,MIL,-10.5,231.0,112,139
SAC,BKN,BKN,-5.5,242.0,118,127
BOS,DAL,BOS,-2.5,223.5,107,110
PHI,TOR,PHI,-3.0,221.0,109,102
GS,NY,GS,-4.0,223.0,114,106
DET,ORL,ORL,-4.0,210.0,105,93
ATL,CLE,ATL,-8.0,227.5,111,112
WSH,LA,LAL,-7.0,229.0,127,124
CHA,UTA,UTA,-13.0,228.0,110,132
POR,PHX,PHX,-6.0,227.0,100,132
MEM,DAL,DAL,-4.5,232.5,92,102
MIA,OKC,MIA,-7.0,212.0,108,94
CHI,HOU,HOU,pk,226.0,120,100
SAC,MIL,MIL,-10.0,240.0,115,128
BKN,LA,LAC,-6.5,234.5,112,108
DEN,ATL,DEN,-2.5,233.0,115,123
MIN,NY,NYK,-3.5,217.0,99,103
PHI,TOR,PHI,-3.5,222.5,103,110
DET,ORL,ORL,-3.0,210.5,96,105
OKC,CLE,OKC,-3.0,219.5,117,101
BOS,NO,BOS,-2.0,230.0,115,120
WSH,POR,POR,-4.5,243.0,118,111
MIA,LA,LAL,-3.5,209.0,96,94
SAC,CHI,SAC,-1.0,235.5,114,122
PHX,MEM,PHX,-6.5,223.0,128,97
GS,CHA,GS,-2.5,233.0,100,102
UTA,LA,UTA,-1.0,227.5,112,116
DET,MEM,MEM,-4.0,219.5,95,109
OKC,MIL,MIL,-10.0,232.0,85,98
TOR,MIN,TOR,-3.5,226.0,86,81
PHX,NO,PHX,-3.5,231.0,132,114
ATL,BOS,BOS,-5.0,225.5,109,121
CHI,PHI,PHI,-6.0,227.0,105,112
GS,ORL,GS,-5.0,224.5,120,124
MIA,SAC,MIA,-1.0,226.0,118,110
BKN,LA,LAL,-3.0,230.5,109,98
TOR,MIL,MIL,-8.0,235.0,110,96
UTA,LA,UTA,-7.0,228.5,114,96
MIA,GS,GS,pk,223.0,112,120
IND,MIN,IND,-5.0,225.5,134,128
POR,NO,NOP,-4.0,236.0,126,124
HOU,PHI,PHI,-8.0,227.0,113,118
ATL,BOS,BOS,-1.5,223.0,122,114
DEN,WSH,DEN,-4.5,234.0,128,130
NY,ORL,NYK,-3.5,209.5,89,107
BKN,PHX,PHX,-8.0,226.0,128,124
TOR,MIL,MIL,-6.0,236.0,124,113
POR,OKC,POR,-5.0,226.0,115,104
LA,MIN,LAL,-6.5,223.0,112,104
NO,MEM,NOP,-1.0,231.5,144,113
DEN,BOS,BOS,-2.5,223.0,99,112
BKN,SAC,BKN,-5.0,242.5,136,125
MIA,LA,MIA,-6.5,218.0,118,125
CLE,GS,GS,-11.0,227.5,98,129
PHI,UTA,UTA,-8.5,224.5,123,134
ATL,NY,ATL,-1.0,218.5,112,123
CHI,IND,IND,-4.5,224.0,120,112
HOU,WSH,WSH,-1.5,232.0,119,131
CLE,LA,LAC,-9.0,220.0,111,128
MEM,SAC,SAC,-2.5,232.0,124,110
ORL,PHX,PHX,-11.5,212.0,90,109
LA,DEN,LAL,-3.0,219.0,105,122
SA,CHA,SAS,-4.0,226.5,122,110
MIL,OKC,MIL,-11.5,228.5,109,114
DET,BOS,BOS,-7.5,211.0,108,102
MIN,TOR,TOR,-7.5,228.5,116,112
POR,DAL,DAL,-5.5,235.5,121,118
MIA,UTA,UTA,-7.0,216.0,94,112
BKN,GS,BKN,-3.5,245.5,134,117
IND,ATL,IND,-1.5,223.5,125,113
HOU,NY,NYK,pk,213.0,99,121
PHI,PHX,PHX,-1.0,221.5,111,120
ORL,SAC,SAC,-7.0,219.5,123,112
MEM,LA,LAL,-8.5,218.5,105,115
CLE,POR,POR,-3.5,222.0,110,129
MIL,UTA,UTA,-2.5,232.5,115,129
OKC,DEN,DEN,-12.0,222.0,95,97
LA,CHI,LAC,-7.5,225.0,125,106
NO,DAL,DAL,-3.0,233.0,130,143
TOR,BOS,BOS,-2.0,219.5,106,120
SA,ATL,ATL,-2.5,225.5,125,114
NY,WSH,NYK,-3.5,219.0,109,91
MIN,CHA,CHA,-2.5,230.5,114,120
PHI,POR,PHI,-5.5,229.5,114,118
ORL,GS,GS,-8.5,222.0,105,111
MIA,HOU,MIA,-2.5,214.0,101,94
IND,DET,IND,-3.0,215.0,111,95
MIL,PHX,MIL,-4.0,228.5,124,125
OKC,LA,LAL,-12.0,216.5,113,114
CLE,DEN,DEN,-9.5,219.0,95,133
CHA,MEM,MEM,-2.5,223.5,114,130
LA,MIN,LAC,-9.0,225.0,119,112
NO,CHI,NOP,-2.5,230.0,116,129
ATL,DAL,DAL,-3.0,232.0,117,118
IND,BKN,IND,-1.5,236.0,94,104
TOR,WSH,TOR,-5.0,234.5,137,115
BOS,UTA,UTA,-5.5,219.0,108,122
PHI,SAC,PHI,-5.0,231.0,119,111
ORL,POR,POR,-6.0,219.5,97,106
GS,SA,GS,-1.0,231.5,114,91
HOU,NO,NOP,-6.0,226.0,101,130
NY,MIA,MIA,-6.5,207.5,96,98
BKN,DET,BKN,-5.5,229.0,111,122
OKC,LA,LAL,-10.5,220.0,112,119
MIL,DEN,MIL,-3.0,233.5,125,112
CLE,PHX,PHX,-5.5,213.5,113,119
GS,SA,SAS,-1.5,233.0,100,105
MIN,DAL,DAL,-9.5,228.0,122,127
WSH,CHI,CHI,-5.0,236.5,105,101
TOR,MEM,TOR,-3.0,223.0,128,113
HOU,CHA,HOU,-2.5,219.5,94,119
SAC,LA,LAC,-8.5,228.0,113,110
BOS,PHX,PHX,-2.5,215.5,91,100
MIA,NY,MIA,-6.0,207.0,109,103
UTA,IND,UTA,-5.0,225.5,103,95
DET,LA,LAL,-14.0,214.5,129,135
GS,DAL,DAL,-5.0,232.5,132,134
MIL,CLE,MIL,-10.5,228.5,124,99
SA,HOU,HOU,-1.0,225.5,111,106
MIN,OKC,OKC,-2.0,220.0,118,120
TOR,ATL,TOR,-1.0,223.5,121,132
BKN,PHI,PHI,-7.5,234.0,108,124
MEM,NO,MEM,-1.5,228.0,109,118
CHI,ORL,CHI,-1.5,224.5,118,92
DEN,SAC,DEN,-2.0,227.0,114,119
POR,NY,POR,-1.5,214.5,99,110
BOS,LA,LAC,-5.5,219.5,119,115
DET,PHX,PHX,-8.0,213.0,92,109
WSH,MIA,MIA,-7.5,230.5,95,122
MIN,OKC,MIN,-2.5,220.0,106,103
TOR,BKN,BKN,-5.5,239.5,123,117
MIL,CLE,MIL,-11.0,228.0,123,105
NO,IND,IND,-1.5,228.5,114,113
UTA,CHA,UTA,-8.5,224.0,138,121
CHI,ORL,CHI,-2.5,224.0,119,123
DEN,LA,LAL,-5.0,217.0,93,114
HOU,MEM,MEM,-3.5,225.5,115,103
GS,DAL,DAL,-4.5,229.5,147,116
UTA,ATL,UTA,-10.0,221.5,112,91
POR,PHI,PHI,-10.5,222.5,121,105
BOS,SAC,SAC,-1.0,224.0,111,116
PHX,NO,PHX,-3.0,222.5,101,123
MIN,SA,SAS,-8.0,224.0,108,111
NY,CHI,CHI,-2.0,217.5,107,103
HOU,OKC,HOU,-6.5,221.5,87,104
DAL,ATL,DAL,-1.5,224.0,122,116
WSH,MIA,MIA,-9.5,227.5,103,100
LA,CLE,LAC,-9.0,219.5,121,99
IND,MIL,MIL,-9.0,233.0,110,130
PHI,CHA,PHI,-6.5,224.5,118,111
BOS,GS,BOS,-3.0,226.5,111,107
DET,UTA,UTA,-12.0,218.0,105,117
LA,BKN,LAC,-2.0,242.5,120,124
TOR,ORL,TOR,-6.5,215.0,123,108
MEM,IND,IND,-5.0,221.5,116,134
MEM,SA,SAS,-4.0,221.0,133,102
PHX,DAL,DAL,-2.0,219.5,109,108
POR,MIL,MIL,-9.5,235.5,106,134
NY,CHI,CHI,-4.0,217.0,102,110
HOU,OKC,HOU,-5.0,223.5,136,106
SAC,NO,NOP,-3.0,234.5,118,109
LA,ATL,LAL,-7.0,219.0,107,99
CHA,MIA,MIA,-7.5,216.0,129,121
MIN,CLE,CLE,-3.5,221.0,98,100
CLE,MIN,CLE,-3.0,219.0,104,109
BKN,WSH,BKN,-6.0,245.0,146,149
ORL,TOR,TOR,-6.0,216.0,102,115
LA,NY,LAC,-9.5,210.5,129,115
PHI,IND,IND,-2.5,221.5,119,110
UTA,DEN,UTA,-3.0,221.0,117,128
DET,GS,GS,-5.5,224.5,91,118
MEM,SA,SAS,-3.5,218.0,129,112
PHX,DAL,DAL,-1.0,214.5,111,105
LA,BOS,LAL,-3.5,218.5,96,95
SAC,MIA,MIA,-6.5,223.5,104,105
HOU,NO,NOP,-2.0,222.0,126,112
MIL,CHA,MIL,-9.0,230.5,114,126
POR,CHI,CHI,-2.0,232.0,123,122
DAL,UTA,UTA,-4.0,222.0,101,120
DEN,SA,DEN,-4.0,222.5,109,119
BKN,OKC,BKN,-6.5,229.0,147,125
PHI,MIN,PHI,-9.5,224.5,118,94
SAC,TOR,TOR,-4.0,226.5,126,124
CLE,NY,NYK,-2.0,209.5,81,102
MIL,NO,MIL,-7.0,230.0,126,131
ATL,WSH,ATL,-3.5,234.5,116,100
LA,ORL,LAC,-7.5,217.5,116,90
IND,CHA,IND,-3.5,221.0,105,108
POR,HOU,HOU,-5.0,229.0,101,104
GS,PHX,PHX,-1.5,219.0,93,114
LA,MIA,MIA,-3.0,212.0,109,105
LA,DET,LAL,-7.0,214.5,92,107
MIN,GS,GS,-9.0,230.5,111,123
DAL,UTA,UTA,-2.0,220.0,104,116
OKC,PHX,PHX,-8.0,215.0,102,97
BOS,SA,BOS,-4.5,224.5,106,110
WSH,NO,NOP,-8.0,227.5,106,124
LA,PHI,LAL,-4.0,222.0,106,107
BKN,ATL,BKN,-5.5,238.5,132,128
DEN,MIA,DEN,-6.5,216.5,109,82
MIL,TOR,MIL,-6.0,229.5,115,108
SAC,ORL,ORL,-1.0,223.0,121,107
DET,CLE,CLE,-2.5,214.5,107,122
IND,CHA,IND,-3.0,221.0,116,106
NY,UTA,UTA,-12.0,213.0,94,108
WSH,HOU,HOU,-3.5,234.0,88,107
LA,ATL,ATL,-6.0,226.0,99,108
MIN,GS,GS,-8.5,226.0,108,130
OKC,POR,POR,-5.0,226.5,125,122
DEN,DAL,DEN,-2.0,223.0,117,113
BOS,CHI,BOS,-3.5,228.0,119,103
MIA,BKN,BKN,-7.5,236.5,85,98
LA,CLE,LAL,-11.5,214.5,115,108
TOR,IND,IND,-2.0,219.0,114,129
PHI,DET,PHI,-5.0,216.5,104,119
CHA,ORL,ORL,-1.5,213.0,108,117
NY,POR,POR,-4.0,215.0,113,116
ATL,MIL,MIL,-12.0,225.5,115,129
WSH,SA,SAS,-6.0,233.0,101,121
CHA,ORL,CHA,-2.0,214.0,107,104
OKC,LA,LAC,-13.0,221.5,100,108
CLE,BOS,BOS,-6.0,212.5,103,141
TOR,IND,IND,-4.5,217.0,107,102
DEN,PHX,DEN,-3.0,216.0,120,112
HOU,DAL,DAL,-7.0,222.5,133,108
LA,CHI,LAL,-9.5,226.5,101,90
NO,MIN,NOP,-8.5,217.0,110,120
MIA,BKN,BKN,-8.0,232.0,124,128
PHI,DET,PHI,-8.5,216.0,114,110
GS,UTA,UTA,-7.0,227.5,108,127
DEN,PHX,PHX,-1.0,219.5,130,126
OKC,LA,LAC,-13.0,220.0,106,120
NY,SAC,SAC,-4.0,218.5,94,103
DAL,SA,DAL,-2.0,222.5,122,117
ATL,MIN,ATL,-6.0,226.5,116,98
BKN,CLE,BKN,-6.5,223.5,113,125
MIA,TOR,TOR,-2.0,220.5,81,101
BOS,PHI,PHI,-5.0,222.5,110,122
ORL,IND,IND,-5.0,217.5,118,120
HOU,DET,DET,-2.5,215.0,103,102
CHI,CHA,CHA,-3.0,228.5,123,110
NY,GS,GS,-4.5,214.5,119,104
NO,UTA,UTA,-7.0,217.5,118,129
LA,MIL,MIL,-1.0,228.5,113,106
PHX,HOU,PHX,-5.5,219.0,109,103
ORL,MIN,ORL,-4.0,219.5,97,96
DET,ATL,ATL,-5.0,220.5,115,123
MIA,TOR,TOR,-4.0,222.0,111,102
BKN,CLE,BKN,-10.5,226.5,135,147
DAL,IND,DAL,-2.5,221.5,124,112
NO,UTA,UTA,-6.5,217.5,102,118
OKC,DEN,DEN,-10.0,220.0,101,119
GS,LA,LAL,-9.0,225.5,115,113
HOU,CHI,HOU,-2.0,225.5,120,125
PHX,MEM,PHX,-5.0,217.0,104,108
SA,POR,SAS,-2.5,227.0,125,104
DET,MIA,MIA,-6.0,215.0,107,113
MIN,ATL,ATL,-7.5,229.0,97,108
ORL,NY,ORL,-2.0,206.0,84,91
NY,BOS,BOS,-7.0,209.5,105,75
PHI,MEM,MEM,-2.0,222.5,104,106
DET,MIA,MIA,-5.5,217.5,120,100
CHA,TOR,TOR,-6.5,221.5,113,116
ORL,BKN,BKN,-9.0,226.0,115,122
HOU,SA,SAS,-7.0,217.0,91,103
LA,SAC,LAC,-7.0,226.5,138,100
NO,LA,LAL,-9.0,220.0,95,112
ATL,UTA,UTA,-6.0,228.5,92,116
CHI,OKC,CHI,-2.0,224.5,125,127
NY,CLE,NYK,-2.0,197.0,103,106
DAL,MIL,MIL,-8.0,229.5,109,112
ORL,BOS,BOS,-4.5,213.5,97,124
GS,DEN,DEN,-5.0,225.0,104,114
IND,POR,POR,-3.0,227.5,111,87
HOU,SA,SAS,-7.0,219.5,109,105
CHA,TOR,TOR,-10.0,218.5,108,111
MIA,PHI,PHI,-7.0,222.5,108,125
POR,SAC,POR,-4.5,237.5,132,126
NO,LA,LAC,-11.0,216.0,106,111
BKN,NY,BKN,-3.0,217.0,116,109
MIL,DET,MIL,-10.5,225.5,110,101
DAL,CHA,DAL,-3.0,220.5,104,93
IND,GS,GS,-3.0,227.0,104,95
LA,HOU,LAL,-4.5,224.0,117,100
SA,OKC,SAS,-2.5,218.0,112,102
DEN,BKN,BKN,-2.0,230.5,116,122
MIA,PHI,PHI,-9.0,212.5,134,137
TOR,POR,POR,-4.5,230.5,111,112
IND,SAC,IND,-4.0,229.0,122,127
PHI,ATL,ATL,-6.0,222.5,94,112
MEM,CLE,MEM,-2.5,206.5,101,91
NY,CHA,CHA,-5.0,212.0,88,109
PHX,WSH,PHX,-6.0,232.0,107,128
MIL,ORL,MIL,-10.0,226.0,121,99
SA,MIN,SAS,-4.0,229.5,88,96
DEN,NY,DEN,-5.5,214.5,114,89
OKC,BKN,BKN,-7.5,224.5,129,116
CHI,LA,LAC,-11.5,221.0,127,130
UTA,DET,UTA,-8.5,219.0,96,86
POR,SAC,POR,-5.5,236.5,125,99
ORL,DAL,DAL,-5.5,218.5,98,112
CLE,MIL,MIL,-8.5,219.0,90,100
SA,MIN,SAS,-4.0,234.5,125,122
ATL,CHA,ATL,-5.0,229.0,105,113
PHX,IND,IND,-3.0,215.5,125,117
MIA,WSH,MIA,-10.5,227.0,128,124
DEN,PHI,DEN,-13.0,214.5,115,103
LA,GS,LAC,-6.5,229.0,105,115
TOR,SAC,TOR,-2.5,223.5,144,123
CHI,LA,LAL,-8.0,222.0,115,117
BKN,MEM,MEM,-1.0,218.5,110,115
ORL,HOU,HOU,-7.0,221.5,90,132
UTA,MIL,MIL,-6.0,231.0,131,118
WSH,BOS,BOS,-3.5,236.5,107,116
CHA,NO,NOP,-7.0,218.0,118,110
OKC,NY,NYK,-2.5,211.5,101,89
PHX,DET,PHX,-8.0,216.0,105,110
SA,LA,LAL,-8.5,225.5,118,109
MIN,POR,POR,-10.0,232.5,117,135
DAL,DEN,DEN,-3.0,223.0,124,117
CLE,MEM,MEM,-5.0,209.0,94,90
PHI,BKN,PHI,-4.0,223.0,109,122
LA,GS,LAC,-5.0,231.0,108,101
CHI,SAC,SAC,-7.0,228.5,124,128
TOR,PHX,PHX,-3.0,219.0,115,123
OKC,NO,NOP,-8.0,213.5,111,110
DET,MIL,MIL,-11.5,226.5,115,130
BOS,MIA,MIA,-2.5,217.5,107,105
UTA,NY,UTA,-7.5,214.0,100,112
WSH,PHI,PHI,-6.5,235.0,136,141
CLE,ORL,ORL,-5.0,214.5,94,105
HOU,IND,IND,-3.0,224.5,107,114
CHI,POR,POR,-9.5,232.5,111,108
SA,LA,LAC,-7.5,226.0,116,113
MIN,DEN,DEN,-10.5,226.5,116,123
LA,MEM,LAL,-9.5,219.0,94,92
UTA,BKN,UTA,-4.5,226.5,96,130
SAC,GS,SAC,-1.5,235.0,106,137
DAL,HOU,HOU,-4.0,229.5,113,100
DET,MIL,MIL,-16.0,223.5,115,125
OKC,MIA,MIA,-9.0,214.5,90,118
NY,ATL,ATL,-7.0,224.5,113,108
CLE,ORL,ORL,-6.0,214.5,83,103
CHA,PHI,PHI,-8.0,221.5,101,118
POR,GS,POR,-4.5,235.5,122,137
DAL,CHI,DAL,-4.0,224.0,108,118
LA,PHX,LAC,-3.5,216.0,112,107
UTA,SA,UTA,-5.0,222.0,130,109
DEN,MIN,DEN,-8.5,226.5,124,109
WSH,BKN,BKN,-7.5,241.5,123,122
LA,MEM,LAL,-9.5,220.5,108,94
BOS,DET,BOS,-8.0,212.0,122,120
CLE,ATL,ATL,-5.5,229.5,96,91
TOR,NO,TOR,-1.0,215.5,116,120
CHA,PHI,PHI,-10.0,217.0,112,127
NY,IND,IND,-9.5,215.5,106,102
OKC,ORL,ORL,-5.0,216.0,108,99
SAC,HOU,SAC,-1.5,230.0,94,102
POR,GS,POR,-3.5,234.5,123,98
LA,UTA,LAC,-3.5,220.5,100,106
PHX,DEN,DEN,-3.5,220.5,106,103
WSH,MIN,MIN,-1.0,234.5,130,109
CHI,MIL,MIL,-14.5,233.5,96,126
LA,SA,LAL,-7.5,229.0,109,103
