0,1,2
0,86,100
1,96,108
2,102,107
3,98,93
4,104,92
5,122,128
6,119,112
7,84,92
8,76,89
9,103,90
10,91,84
11,106,86
12,87,94
13,101,112
14,84,74
15,90,97
16,88,103
17,94,103
18,98,121
19,119,109
20,89,98
21,80,84
22,81,104
23,96,106
24,86,97
25,82,98
26,100,103
27,105,87
28,103,91
29,95,85
30,81,91
31,112,92
32,104,99
33,83,95
34,95,100
35,97,113
36,93,102
37,120,97
38,108,115
39,111,121
40,101,114
41,82,97
42,94,99
43,94,109
44,107,104
45,97,105
46,87,112
47,74,77
48,99,109
49,100,115
50,102,97
51,94,79
52,101,111
53,98,117
54,103,80
55,123,101
56,118,89
57,101,113
58,87,92
59,110,92
60,111,117
61,89,88
62,99,94
63,104,89
64,105,110
65,97,102
66,109,95
67,109,103
68,123,106
69,101,116
70,105,128
71,90,93
72,74,80
73,92,96
74,93,78
75,97,81
76,92,107
77,86,92
78,92,105
79,103,93
80,104,95
81,91,92
82,112,117
83,117,125
84,99,107
85,103,95
86,83,105
87,100,111
88,95,131
89,79,95
90,88,93
91,94,88
92,116,126
93,93,90
94,89,109
95,96,87
96,100,92
97,91,82
98,85,91
99,98,103
100,95,114
101,102,95
102,79,99
103,101,96
104,93,101
105,77,81
106,87,90
107,85,89
108,95,73
109,103,114
110,99,104
111,107,109
112,89,85
113,81,79
114,98,93
115,81,105
116,108,111
117,90,98
118,82,93
119,128,110
120,88,99
121,110,108
122,81,92
123,96,109
124,103,94
125,90,101
126,105,99
127,95,103
128,84,89
129,103,92
130,97,91
131,81,96
132,100,106
133,107,103
134,100,96
135,107,98
136,86,95
137,86,79
138,92,110
139,111,100
140,100,96
141,90,106
142,107,110
143,98,89
144,94,113
145,111,102
146,86,99
147,105,110
148,105,81
149,85,95
150,94,91
151,93,108
152,106,113
153,100,103
154,99,119
155,95,100
156,93,94
157,92,105
158,87,89
159,121,98
160,73,89
161,84,109
162,92,84
163,82,90
164,91,93
165,95,102
166,88,81
167,100,112
168,101,93
169,107,99
170,114,112
171,85,118
172,105,114
173,91,93
174,86,105
175,80,103
176,83,106
177,88,91
178,95,124
179,78,101
180,93,98
181,100,87
182,84,94
183,89,106
184,83,95
185,106,88
186,88,71
187,86,89
188,82,79
189,82,113
190,96,99
191,90,129
192,87,106
193,108,99
194,91,102
195,88,98
196,82,107
197,93,91
198,99,115
199,118,110
200,99,106
201,94,80
202,92,109
203,85,78
204,111,102
205,70,74
206,87,106
207,101,77
208,107,89
0,96,100
1,75,93
2,83,90
3,122,128
4,90,94
5,96,89
6,111,108
7,100,110
8,101,95
9,117,108
10,109,96
11,84,80
12,103,93
13,96,94
14,84,96
15,102,100
16,112,100
17,80,102
18,80,93
19,93,95
20,100,75
21,113,94
22,110,112
23,92,91
24,94,82
25,95,105
26,102,89
27,103,84
28,92,82
29,74,77
30,114,104
31,100,117
32,97,103
33,80,78
34,92,90
35,103,81
36,92,98
37,99,102
38,99,91
39,95,109
40,94,77
41,96,102
42,104,95
43,77,83
44,80,91
45,116,112
46,83,89
47,107,110
48,86,76
49,98,101
50,81,99
51,90,115
52,106,113
53,93,107
54,90,107
55,73,83
56,91,103
57,94,110
58,79,85
59,85,99
60,86,90
61,91,99
62,107,99
63,96,100
64,99,106
65,69,71
66,83,107
67,88,136
68,78,85
69,107,97
70,107,91
71,83,101
72,116,127
73,115,120
74,90,108
75,101,99
76,104,76
77,94,106
78,87,108
79,106,84
80,101,96
81,99,89
82,88,92
83,106,94
84,93,101
85,97,99
86,103,88
87,90,102
88,94,105
89,88,115
90,111,93
91,97,102
92,101,90
93,68,95
94,104,114
95,84,109
96,97,105
97,101,80
98,96,86
99,98,103
100,91,102
101,101,111
102,116,99
103,91,93
104,77,83
105,109,106
106,95,88
107,100,93
108,106,116
109,116,108
110,96,95
111,107,81
112,104,108
113,86,99
114,74,89
115,91,92
116,97,88
117,98,112
118,74,77
119,110,102
120,94,103
121,106,96
122,83,74
123,98,74
124,108,104
125,84,86
126,91,104
127,94,100
128,106,89
129,95,109
130,95,83
131,103,119
132,89,112
133,88,96
134,94,88
135,84,85
136,99,90
137,93,84
138,100,94
139,92,89
140,88,97
141,99,111
142,109,112
143,102,104
144,121,122
145,101,108
146,97,83
147,89,79
148,103,113
149,95,108
150,90,91
151,87,116
152,81,98
153,106,86
154,103,97
155,103,99
156,72,74
157,90,91
158,90,108
159,110,106
160,89,105
161,91,97
162,102,109
163,94,99
164,111,110
165,91,111
166,94,91
167,91,93
168,90,101
169,93,99
170,98,95
171,86,109
172,96,114
173,100,103
174,85,93
175,76,103
176,88,108
177,111,118
178,92,86
179,92,103
180,104,108
181,103,91
182,105,83
183,106,108
184,107,105
185,91,92
186,100,93
187,105,128
188,100,99
189,78,89
190,83,89
191,89,94
192,101,114
193,116,89
194,105,109
195,91,77
196,94,96
197,97,94
198,87,103
199,109,106
200,113,104
201,90,101
202,109,104
203,102,94
204,105,106
205,100,122
206,99,109
207,90,91
208,76,94
209,92,102
210,90,108
211,98,88
212,89,86
0,103,111
1,98,105
2,88,63
3,118,106
4,120,124
5,89,109
6,87,99
7,111,107
8,96,98
9,103,96
10,111,116
11,122,98
12,91,87
13,113,116
14,88,91
15,88,96
16,80,86
17,114,90
18,120,108
19,66,77
20,101,118
21,96,116
22,92,113
23,99,96
24,96,118
25,75,90
26,105,92
27,102,87
28,95,101
29,99,111
30,96,98
31,89,101
32,97,105
33,93,101
34,83,87
35,101,91
36,94,86
37,102,83
38,110,103
39,79,96
40,85,95
41,92,97
42,110,105
43,103,87
44,94,107
45,90,89
46,129,130
47,89,86
48,91,96
49,92,127
50,110,100
51,100,95
52,123,112
53,113,116
54,107,97
55,112,103
56,106,111
57,95,130
58,87,137
59,100,94
60,94,107
61,86,93
62,109,102
63,116,106
64,88,95
65,93,110
66,88,101
67,89,117
68,88,95
69,103,93
70,108,114
71,102,117
72,103,94
73,75,95
74,102,108
75,95,92
76,108,100
77,85,103
78,105,110
79,103,107
80,83,93
81,89,83
82,92,87
83,98,105
84,102,111
85,100,102
86,105,83
87,85,91
88,110,115
89,82,80
90,101,98
91,93,90
92,105,113
93,114,99
94,97,118
95,104,91
96,99,96
97,79,91
98,96,89
99,75,112
100,112,107
101,100,113
102,102,113
103,94,83
104,107,101
105,94,115
106,121,111
107,100,113
108,99,93
109,82,81
110,100,101
111,94,105
112,96,101
113,105,101
114,89,90
115,92,85
116,98,104
117,80,99
118,90,94
119,96,86
120,84,106
121,86,95
122,89,90
123,89,107
124,105,95
125,91,88
126,104,86
127,100,109
128,115,122
129,104,96
130,120,122
131,103,111
132,94,89
133,86,111
134,101,99
135,103,115
136,95,89
137,79,101
138,113,123
139,93,111
140,96,110
141,92,98
142,95,91
143,95,98
144,97,103
145,88,101
146,104,101
147,83,96
148,85,82
149,99,91
150,99,81
151,88,101
152,102,89
153,77,94
154,82,83
155,98,110
156,106,112
157,87,101
158,101,105
159,89,96
160,110,99
161,107,116
162,103,117
163,92,84
164,87,93
165,89,115
166,82,105
167,104,112
168,89,111
169,93,87
170,92,95
171,105,120
172,116,99
173,102,117
174,90,102
175,90,99
176,115,110
177,75,85
178,80,92
179,106,108
180,96,98
181,88,91
182,102,90
183,98,104
184,89,117
185,93,108
186,79,100
187,106,89
188,96,107
189,88,90
190,84,94
191,93,98
192,94,96
193,87,103
194,67,81
195,101,99
196,98,103
197,83,89
198,111,120
199,80,83
200,82,104
201,90,105
202,117,113
203,92,87
0,108,112
1,101,100
2,83,99
3,96,99
4,107,76
5,98,77
6,81,92
7,81,105
8,104,96
9,105,103
10,112,135
11,113,110
12,95,101
13,97,89
14,68,114
15,88,81
16,93,103
17,96,106
18,106,109
19,88,98
20,95,112
21,102,99
22,97,90
23,95,100
24,96,105
25,101,103
26,94,104
27,67,113
28,92,99
29,85,102
30,86,94
31,76,101
32,102,94
33,105,97
34,119,106
35,98,95
36,102,107
37,110,102
38,100,94
39,105,109
40,100,90
41,90,110
42,80,94
43,108,119
44,93,105
45,90,93
46,103,99
47,85,95
48,84,109
49,98,106
50,115,111
51,100,120
52,83,91
53,113,131
54,76,94
55,80,119
56,77,79
57,88,109
58,100,116
59,113,104
60,95,103
61,117,106
62,106,97
63,108,115
64,81,114
65,100,115
66,109,103
67,96,107
68,90,92
69,100,107
70,86,113
71,112,90
72,85,101
73,84,96
74,86,103
75,88,76
76,81,92
77,112,99
78,92,83
79,102,107
80,88,107
81,107,104
82,95,93
83,117,108
84,85,114
85,70,91
86,101,99
87,92,85
88,101,109
89,89,93
90,96,129
91,95,99
92,87,92
93,76,83
94,101,119
95,97,106
96,92,90
97,108,119
98,87,115
99,100,122
100,91,103
101,84,91
102,107,99
103,75,104
104,73,85
105,85,93
106,85,118
107,92,116
108,95,91
109,72,74
110,111,100
111,73,87
112,91,94
113,87,91
114,85,80
115,103,112
116,113,111
117,91,89
